Player,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %,Team,BPD,BPI,BPB,BP6
RK Singh,9,264,175,7,37.7,150.9,79,1,0,25,11,32,KKR,25.00,19.4,4.86,15.9
N Rana,52,"1,491","1,084",47,31.7,137.5,107,9,1,148,68,39.3,KKR,23.06,20.8,5.02,15.9
MK Lomror,22,579,433,18,32.2,133.7,78,4,0,42,26,32.3,RCB,24.06,19.7,6.37,16.7
RG Sharma,39,981,782,39,25.2,125.4,80,4,0,88,46,43.9,,20.05,20.1,5.84,17.0
KL Rahul,41,"1,910","1,424",34,56.2,134.1,130,15,3,151,83,33,LSG,41.88,34.7,6.09,17.2
DA Miller,60,"1,341","1,007",38,35.3,133.2,94,6,0,88,58,31.1,GT,26.50,16.8,6.90,17.4
KS Bharat,14,315,244,13,24.2,129.1,78,2,0,22,14,35.7,GT,18.77,17.4,6.78,17.4
RA Tripathi,42,"1,106",770,37,29.9,143.6,81,7,0,107,44,34.2,SRH,20.81,18.3,5.10,17.5
Prabhsimran Singh,17,439,334,14,31.4,131.4,98,3,0,44,19,43.1,PBKS,23.86,19.6,5.30,17.6
Ishan Kishan,41,"1,293",970,35,36.9,133.3,99,10,0,117,55,36.8,MI,27.71,23.7,5.64,17.6
F du Plessis,102,"3,191","2,270",92,34.7,140.6,120,20,4,295,125,34.1,RCB,24.67,22.3,5.40,18.2
A Badoni,14,197,166,10,19.7,118.7,54,1,0,12,9,38,LSG,16.60,11.9,7.90,18.4
Anuj Rawat,16,249,222,13,19.2,112.2,66,1,0,22,12,49.5,RCB,17.08,13.9,6.53,18.5
YBK Jaiswal,33,782,595,32,24.4,131.4,68,4,0,86,32,42.9,RR,18.59,18.0,5.04,18.6
Q de Kock,73,"2,117","1,529",65,32.6,138.5,140,16,1,207,82,36.1,LSG,23.52,20.9,5.29,18.6
GJ Maxwell,80,"2,155","1,475",63,34.2,146.1,154,13,2,205,79,32.4,RCB,23.41,18.4,5.19,18.7
MA Agarwal,36,"1,068",751,35,30.5,142.2,105,7,1,109,40,35.3,SRH,21.46,20.9,5.04,18.8
NT Tilak Varma,20,619,473,17,36.4,130.9,62,6,0,46,25,31.7,MI,27.82,23.7,6.66,18.9
R Ashwin,22,272,211,13,20.9,128.9,50,1,0,19,11,32.2,RR,16.23,9.6,7.03,19.2
AK Markram,29,867,660,23,37.7,131.4,100,4,1,64,34,30.5,SRH,28.70,22.8,6.73,19.4
MS Wade,56,"1,485","1,025",53,28,144.9,130,9,1,142,52,32.2,GT,19.34,18.3,5.28,19.7
VR Iyer,27,723,570,24,30.1,126.8,67,7,0,71,28,40.7,KKR,23.75,21.1,5.76,20.4
SA Yadav,41,"1,175",808,37,31.8,145.4,82,9,0,134,39,34.4,MI,21.84,19.7,4.67,20.7
PD Salt,104,"2,587","1,743",97,26.7,148.4,77,17,0,280,84,32.2,DC,17.97,16.8,4.79,20.8
MK Pandey,34,950,776,30,31.7,122.4,83,7,0,75,36,37,DC,25.87,22.8,6.99,21.6
RD Gaikwad,39,"1,382","1,044",35,39.5,132.4,101,12,1,135,47,35.6,CSK,29.83,26.8,5.74,22.2
Abhishek Sharma,41,850,644,35,24.3,132,75,3,0,89,28,38.2,SRH,18.40,15.7,5.50,23.0
MS Dhoni,35,546,467,22,24.8,116.9,50,1,0,49,20,43,CSK,21.23,13.3,6.77,23.4
Shahbaz Ahmed,23,300,263,19,15.8,114.1,45,0,0,20,11,39.2,RCB,13.84,11.4,8.48,23.9
RR Pant,43,"1,101",851,34,32.4,129.4,58,4,0,109,35,35.6,DC,25.03,19.8,5.91,24.3
N Jagadeesan,16,440,371,13,33.8,118.6,78,3,0,39,15,39.1,KKR,28.54,23.2,6.87,24.7
BA Stokes,16,393,298,15,26.2,131.9,107,1,1,46,12,41.9,CSK,19.87,18.6,5.14,24.8
R Dhawan,14,211,177,8,26.4,119.2,45,0,0,18,7,37.3,PBKS,22.13,12.6,7.08,25.3
SS Iyer,43,"1,250","1,003",37,33.8,124.6,88,7,0,101,39,33.2,KKR,27.11,23.3,7.16,25.7
Liton Das,36,"1,090",852,34,32.1,127.9,78,8,0,121,32,38.5,KKR,25.06,23.7,5.57,26.6
DA Warner,42,"1,274",966,36,35.4,131.9,92,11,0,128,36,36.9,DC,26.83,23.0,5.89,26.8
SN Khan,20,319,248,15,21.3,128.6,53,1,0,31,9,33.1,DC,16.53,12.4,6.20,27.6
D Padikkal,47,"1,271","1,023",46,27.6,124.2,101,7,1,138,36,40.1,RR,22.24,21.8,5.88,28.4
Shubman Gill,56,"1,742","1,377",52,33.5,126.5,126,11,1,179,45,35.9,GT,26.48,24.6,6.15,30.6
S Dhawan,52,"1,795","1,373",46,39,130.7,106,11,2,194,44,34.4,PBKS,29.85,26.4,5.77,31.2
WP Saha,26,668,563,24,27.8,118.7,87,5,0,72,17,40.5,GT,23.46,21.7,6.33,33.1
DP Conway,37,"1,471","1,084",28,52.5,135.7,101,13,1,163,32,30.7,CSK,38.71,29.3,5.56,33.9
KS Williamson,35,907,783,24,37.8,115.8,79,6,0,80,23,37.2,GT,32.63,22.4,7.60,34.0
V Kohli,46,"1,212","1,017",40,30.3,119.2,90,8,0,98,28,33.5,RCB,25.43,22.1,8.07,36.3
Washington Sundar,20,243,211,17,14.3,115.2,40,0,0,21,5,36,SRH,12.41,10.6,8.12,42.2
JE Root,19,678,515,15,45.2,131.7,82,6,0,68,11,26.4,RR,34.33,27.1,6.52,46.8
Anmolpreet Singh,10,269,216,10,26.9,124.5,64,3,0,32,4,35.6,SRH,21.60,21.6,6.00,54.0
B Sai Sudharsan,11,294,241,8,36.8,122,65,1,0,30,3,30.7,GT,30.13,21.9,7.30,80.3
C Green,5,57,50,3,19,114,33,0,0,4,0,24,MI,16.67,10.0,12.50,50.0
